episode,timestep,reward
31,2000,423.4687
60,4000,762.3447
86,6000,813.6238
109,8000,871.0983
132,10000,867.6772
155,12000,911.7
178,14000,883.844
201,16000,905.6146
223,18000,880.3892
246,20000,836.319
268,22000,854.367
293,24000,789.6408
318,26000,874.9023
342,28000,845.9366
363,30000,900.775
381,32000,956.094
402,34000,948.9983
423,36000,802.1243
443,38000,760.9035
466,40000,836.0437
487,42000,834.4176
507,44000,891.3331
524,46000,949.2839
544,48000,991.7728
564,50000,909.1699
588,52000,855.9136
610,54000,902.0725
632,56000,870.8076
656,58000,897.9352
681,60000,753.9705
704,62000,822.7675
724,64000,969.3671
747,66000,956.8056
770,68000,924.55
793,70000,878.1889
815,72000,875.2307
840,74000,830.6941
862,76000,855.8852
884,78000,911.4619
908,80000,835.4283
931,82000,824.8371
953,84000,886.047
976,86000,836.9132
997,88000,805.6104
1018,90000,910.7703
1038,92000,906.216
1059,94000,917.0868
1078,96000,952.091
1096,98000,973.6207
1118,100000,889.6076
1141,102000,870.412
1162,104000,925.7298
1184,106000,912.8871
1205,108000,954.986
1224,110000,927.6811
1245,112000,916.6094
1267,114000,901.9215
1286,116000,994.3693
1305,118000,979.3488
1325,120000,922.5543
1346,122000,895.0319
1365,124000,1007.9224
1387,126000,870.1166
1410,128000,867.6048
1429,130000,960.1453
1449,132000,1007.5621
1469,134000,956.4846
1485,136000,964.8813
1501,138000,1071.2072
1525,140000,822.4457
1546,142000,884.3017
1567,144000,940.714
1588,146000,864.7388
1610,148000,812.2447
1629,150000,977.7491
1650,152000,939.6008
1670,154000,935.8391
1687,156000,957.0405
1704,158000,967.1636
1723,160000,993.3431
1743,162000,999.5131
1762,164000,909.7122
1781,166000,980.284
1801,168000,948.4447
1824,170000,861.8065
1844,172000,911.1883
1866,174000,902.492
1891,176000,824.698
1914,178000,821.4265
1935,180000,915.6032
1956,182000,945.28
1978,184000,906.2827
1998,186000,1007.6429
2016,188000,1019.86
2034,190000,975.7411
2055,192000,991.9618
2075,194000,1034.7569
2099,196000,892.5578
2122,198000,892.5633
2145,200000,948.387
2166,202000,964.8615
2184,204000,979.748
2203,206000,970.0964
2222,208000,974.0145
2242,210000,1015.6841
2262,212000,964.8995
2284,214000,943.2224
2304,216000,947.3316
2324,218000,955.6036
2344,220000,917.6693
2364,222000,927.312
2383,224000,921.0652
2401,226000,942.3989
2421,228000,929.917
2441,230000,937.8551
2463,232000,886.8848
2481,234000,941.6602
2502,236000,961.5329
2521,238000,912.8634
2538,240000,1050.0639
2556,242000,1063.2117
2574,244000,1007.1268
2594,246000,953.5722
2616,248000,886.1371
2639,250000,792.0516
2663,252000,830.8828
2687,254000,875.201
2709,256000,853.1317
2729,258000,928.5199
2745,260000,939.5076
2763,262000,932.9361
2787,264000,820.3058
2813,266000,751.7052
2836,268000,859.3267
2860,270000,846.9353
2886,272000,797.1757
2909,274000,825.1728
2931,276000,902.4229
2955,278000,854.6969
2977,280000,892.8337
2999,282000,926.3317
3020,284000,922.3663
3042,286000,880.7121
3066,288000,900.2115
3088,290000,873.2658
3109,292000,882.0464
3128,294000,907.4864
3148,296000,890.9862
3167,298000,991.7476
3184,300000,1017.0246
3203,302000,955.2308
3224,304000,967.7892
3244,306000,966.0045
3263,308000,995.8463
3282,310000,916.8495
3300,312000,916.5804
3319,314000,932.713
3338,316000,950.9966
3358,318000,938.9461
3379,320000,911.4555
3401,322000,861.533
3422,324000,908.8527
3444,326000,878.6503
3464,328000,856.6401
3483,330000,903.0213
3503,332000,887.9237
3523,334000,940.5015
3542,336000,931.4757
3560,338000,949.9787
3580,340000,961.5989
3599,342000,956.8985
3616,344000,948.5534
3634,346000,896.3503
3653,348000,942.7427
3671,350000,971.1662
3692,352000,928.1769
3712,354000,910.088
3730,356000,937.851
3749,358000,997.0388
3766,360000,936.8878
3784,362000,908.7071
3803,364000,976.7537
3822,366000,956.6849
3843,368000,924.219
3865,370000,958.3879
3887,372000,1012.6246
3908,374000,964.9864
3927,376000,971.9092
3948,378000,947.4138
3966,380000,940.7089
3986,382000,936.2536
4006,384000,973.7168
4026,386000,882.1934
4045,388000,906.1641
4062,390000,986.4469
4080,392000,971.1882
4101,394000,946.0948
4122,396000,964.4587
4143,398000,977.5599
4162,400000,1068.8807
4182,402000,976.4861
4203,404000,935.0784
4223,406000,938.4496
4242,408000,990.5235
4262,410000,946.3622
4282,412000,976.9488
4301,414000,979.047
4322,416000,966.6375
4343,418000,938.3425
4365,420000,896.3951
4384,422000,957.5153
4406,424000,855.7859
4427,426000,866.7185
4447,428000,870.6605
4468,430000,860.6101
4488,432000,918.3515
4508,434000,824.5244
4527,436000,841.1449
4546,438000,916.1038
4565,440000,889.1644
4587,442000,871.0195
4610,444000,870.0588
4629,446000,978.9599
4648,448000,948.0097
4671,450000,827.6254
4694,452000,813.1227
4717,454000,860.0865
4736,456000,965.7403
4756,458000,923.3628
4775,460000,897.9694
4793,462000,893.4652
4810,464000,905.2115
4826,466000,956.2214
4845,468000,982.3571
4864,470000,1002.1595
4885,472000,952.0295
4906,474000,863.4322
4923,476000,889.8623
4943,478000,938.6556
4965,480000,893.6075
4987,482000,846.5544
5006,484000,916.8197
5027,486000,904.6193
5046,488000,974.9623
5065,490000,953.9746
5084,492000,901.3264
5105,494000,903.5867
5126,496000,951.7516
5147,498000,920.3132
5165,500000,946.1544
5184,502000,920.6226
5202,504000,997.7522
5221,506000,1019.7293
5241,508000,991.2437
5261,510000,944.0901
5281,512000,1000.3453
5302,514000,1011.6531
5322,516000,994.915
5343,518000,1004.1231
5363,520000,1007.4636
5384,522000,953.1447
5408,524000,833.5135
5428,526000,912.259
5450,528000,901.8294
5469,530000,865.1445
5489,532000,870.8832
5510,534000,910.6506
5532,536000,963.7839
5552,538000,923.7755
5571,540000,1009.9072
5591,542000,1013.5713
5611,544000,1008.1316
5630,546000,978.5115
5650,548000,983.0436
5671,550000,870.08
5694,552000,872.3346
5714,554000,912.149
5733,556000,970.4702
5753,558000,946.1187
5771,560000,954.6594
5790,562000,1018.5658
5808,564000,975.7422
5823,566000,1115.181
5846,568000,855.7603
5865,570000,856.977
5884,572000,963.8844
5901,574000,934.6553
5919,576000,855.3872
5934,578000,973.152
5954,580000,904.6542
5971,582000,867.2222
5992,584000,850.6005
6011,586000,933.3828
6030,588000,948.9087
6047,590000,959.2882
6065,592000,866.4209
6080,594000,974.3468
6098,596000,927.3521
6117,598000,912.6691
6130,600000,832.9278
6147,602000,912.9029
6161,604000,985.5478
6182,606000,943.7308
6204,608000,902.293
6226,610000,941.7311
6245,612000,938.631
6264,614000,956.048
6283,616000,967.398
6303,618000,947.7468
6324,620000,925.5849
6344,622000,887.2623
6364,624000,981.1993
6384,626000,949.7913
6404,628000,895.3067
6423,630000,986.2922
6443,632000,906.4009
6465,634000,860.5242
6484,636000,953.9804
6506,638000,970.2824
6527,640000,967.382
6547,642000,984.1803
6568,644000,984.507
6589,646000,935.8532
6610,648000,925.4394
6630,650000,983.3473
6650,652000,958.2546
6670,654000,930.6687
6692,656000,922.2286
6710,658000,962.1785
6731,660000,946.2518
6752,662000,842.2107
6776,664000,847.5177
6798,666000,945.3372
6818,668000,922.7555
6840,670000,886.0672
6860,672000,917.5322
6882,674000,952.4838
6905,676000,892.3376
6929,678000,801.2471
6951,680000,852.4298
6972,682000,872.3818
6993,684000,963.7858
7012,686000,951.8673
7033,688000,964.7093
7057,690000,892.7125
7078,692000,934.6206
7101,694000,869.8827
7123,696000,962.5802
7143,698000,963.9881
7163,700000,946.2766
7183,702000,984.4487
7204,704000,864.4177
7225,706000,885.588
7246,708000,899.981
